SUP_ID;STA_NM_ANFR;NAT_ID;COR_NB_DG_LAT;COR_NB_MN_LAT;COR_NB_SC_LAT;COR_CD_NS_LAT;COR_NB_DG_LON;COR_NB_MN_LON;COR_NB_SC_LON;COR_CD_EW_LON;SUP_NM_HAUT;TPO_ID;ADR_LB_LIEU;ADR_LB_ADD1;ADR_LB_ADD2;ADR_LB_ADD3;ADR_NM_CP;COM_CD_INSEE
115835;0340220065;17;43;25;8;N;2;44;28;E;4;34;LES CARRETALS;LE VILLAGE;MAIRIE;;34220;34228
115933;0340220072;23;43;46;2;N;3;11;22;E;14;16;Le Causse;;;;34650;34121
251814;0360180039;23;46;34;28;N;1;30;2;E;30;11;La petite Brande;Zone d'activité des Narrons;;;36200;36006
926693;0380230044;11;45;12;18;N;6;2;38;E;11;13;chem sur durand;Le Rivier d'Allemond;;;38114;38005
948137;0380230142;17;45;32;1;N;5;39;54;E;21;13;;45 r lÉon magnin;;;38480;38315
8954;0310220009;23;43;17;37;N;0;42;33;E;21;74;;La Paquère du Village;;;31350;31350
9046;0310220071;24;42;58;23;N;0;48;43;E;10;32;;Le Picon;;;31160;31447
1025905;0310230053;11;43;37;0;N;1;25;1;E;20;13;;87 RUE J.GAYRAL;;;31500;31555
49913;0340231039;23;43;23;4;N;3;24;55;E;15;13;monts ramus;;;;34630;34289
29729;0332700172;23;44;42;22;N;0;23;38;W;20;72;Les pinons;rte communale n°1 de la ruasse;;;33550;33226
896387;0320230028;42;43;57;17;N;0;11;56;E;11;13;;Route de Fources;Plaine du bilan;;32250;32290
10909;0420130141;23;45;51;39;N;3;49;36;E;40;30;La Planche;A 89;VC n°122;;42430;42047
96962;0442290151;26;47;40;59;N;1;35;31;W;22;74;;Chem rural n°23 dit de la Cleuze;Terrain de Sport;;44590;44086
97396;0462290030;38;44;33;52;N;1;31;5;E;17;34;Le Bourg;;;;46360;46210
302590;0480232011;23;44;32;6;N;3;53;2;E;12;13;;CABINE RADIO DU BARRAGE DE PUYLAURENT;chem d'accès au barrage;;48250;48021
980967;0620230063;17;50;44;46;N;2;15;46;E;10;13;;RUE EUGENE DELACROIX;;;62500;62765
100728;0622290079;11;50;43;24;N;1;54;39;E;18;74;La Metz;Terrain nu - Ancienne Nationale n° 42;;;62850;62308
35519;0622750883;23;50;17;31;N;2;49;6;E;40;72;;r Volta;Les Aiguilles;Zi de l'Est;62217;62817
35519;0622700058;23;50;17;31;N;2;49;6;E;40;72;;r Volta;Les Aiguilles;Zi de l'Est;62217;62817
